Designator Footprint               Mid-X         Mid-Y         Ref-X         Ref-Y         Pad-X         Pad-Y TB      Rotation Comment        

R22        REZ_MIFON_1206    1620.866mil    848.346mil   1620.866mil    848.346mil   1620.866mil    908.346mil  B         90.00 1k             
R4         REZ_MIFON_1206        1639mil       4083mil       1639mil       4083mil       1699mil       4083mil  B        360.00 10k            
R3         REZ_MIFON_1206        1430mil       4081mil       1430mil       4081mil       1370mil       4081mil  B        180.00 10k            
Q16        MICRO3                 920mil       2205mil        920mil       2205mil     873.74mil   2167.598mil  B        270.00 BC848B         
Q11        MICRO3                 451mil       3685mil        451mil       3685mil     497.26mil   3722.402mil  B         90.00 BC848B         
PR1        POT                   1584mil       3564mil       1584mil       3464mil       1584mil       3464mil  T         90.00 10k            
P6         KEYPAD            1516.992mil    316.346mil   1116.992mil    266.346mil   1116.992mil    266.346mil  T        360.00 Header 9X2     
P1         DIP2               357.992mil   2676.347mil    357.992mil   2576.347mil    357.992mil   2576.347mil  T         90.00 AC_IN          
L2         3225[1210]            1323mil       3288mil       1323mil       3288mil   1267.882mil       3288mil  B        180.00 22uH           
D12        DIODE_NIFON_1206_LED   1088.992mil   1205.071mil   1088.992mil   1205.071mil   1028.992mil   1205.071mil  B        360.00 OF-SMD3216W    
D11        DIODE_NIFON_1206_LED   1746.989mil   1205.074mil   1746.992mil   1205.071mil   1686.989mil   1205.074mil  B        360.00 OF-SMD3216W    
D10        DIODE_NIFON_1206_LED   1745.373mil   2524.343mil    1745.37mil   2524.347mil   1805.373mil   2524.343mil  B        180.00 OF-SMD3216W    
D9         DIODE_NIFON_1206_LED   1087.989mil    2524.35mil   1087.992mil   2524.347mil   1027.989mil    2524.35mil  B        360.00 OF-SMD3216W    
C35        CAP_MIFON_1206     472.992mil   4230.346mil    472.992mil   4230.346mil    472.992mil   4170.346mil  B        270.00 100n           
C5         CAP_MIFON_1206        1606mil       2266mil       1606mil       2266mil       1606mil       2326mil  B         90.00 12p            
C4         CAP_MIFON_1206        1513mil       2266mil       1513mil       2266mil       1513mil       2326mil  B         90.00 12p            
C1         CAP_MIFON_1206    1379.992mil   1211.347mil   1379.992mil   1211.347mil   1439.992mil   1211.347mil  B        360.00 100n           
C31        CAP_MIFON_1206     982.992mil   1653.347mil    982.992mil   1653.347mil   1042.992mil   1653.347mil  B        360.00 22n            
C30        CAP_MIFON_1206    1977.992mil   1413.347mil   1977.992mil   1413.347mil   1917.992mil   1413.347mil  B        180.00 22n            
C29        CAP_MIFON_1206     982.992mil   1553.347mil    982.992mil   1553.347mil   1042.992mil   1553.347mil  B        360.00 22n            
C28        CAP_MIFON_1206    1977.992mil   1313.347mil   1977.992mil   1313.347mil   1917.992mil   1313.347mil  B        180.00 22n            
C27        CAP_MIFON_1206     982.992mil   1453.347mil    982.992mil   1453.347mil   1042.992mil   1453.347mil  B        360.00 22n            
C26        CAP_MIFON_1206    1982.992mil   1213.347mil   1982.992mil   1213.347mil   1922.992mil   1213.347mil  B        180.00 22n            
C25        CAP_MIFON_1206     982.992mil   1353.347mil    982.992mil   1353.347mil   1042.992mil   1353.347mil  B        360.00 22n            
C24        CAP_MIFON_1206    1820.866mil   1048.347mil   1820.866mil   1048.347mil   1820.866mil   1108.347mil  B         90.00 22n            
C23        CAP_MIFON_1206    1977.992mil   1613.347mil   1977.992mil   1613.347mil   1917.992mil   1613.347mil  B        180.00 22n            
C22        CAP_MIFON_1206    1720.866mil   1048.347mil   1720.866mil   1048.347mil   1720.866mil   1108.347mil  B         90.00 22n            
C21        CAP_MIFON_1206    1977.992mil   1513.347mil   1977.992mil   1513.347mil   1917.992mil   1513.347mil  B        180.00 22n            
C20        CAP_MIFON_1206    1620.866mil   1048.347mil   1620.866mil   1048.347mil   1620.866mil   1108.347mil  B         90.00 22n            
C36        CAP_MIFON_1206        2425mil       3490mil       2425mil       3490mil       2365mil       3490mil  B        180.00 100n           
C13        CAP_MIFON_1206        2124mil       3191mil       2124mil       3191mil       2064mil       3191mil  B        180.00 100n           
C12        CAP_MIFON_1206    1568.032mil   3225.347mil   1568.032mil   3225.347mil   1568.032mil   3165.347mil  B        270.00 100n           
C11        CAP_MIFON_5x11        1460mil       2920mil       1460mil       3020mil       1460mil       2820mil  T        270.00 220u           
C10        CAP_MIFON_5x11        1460mil       3195mil       1460mil       3095mil       1460mil       3295mil  T         90.00 220u           
C9         CAP_MIFON_1206        1162mil       3213mil       1162mil       3213mil       1162mil       3153mil  B        270.00 100n           
C8         CAP_MIFON_5X11         925mil       2890mil       1025mil       2890mil        825mil       2890mil  T        180.00 220u           
C7         CAP_MIFON_1206    1357.992mil   2105.347mil   1357.992mil   2105.347mil   1357.992mil   2165.347mil  B         90.00 100n           
C6         CAP_MIFON_1206    1512.992mil   1048.347mil   1512.992mil   1048.347mil   1512.992mil    988.346mil  B        270.00 100n           
