|------------------------------------------------------------------------------------------------------------------------------------
|                                COMPONENT  CENTER  REPORT
|------------------------------------------------------------------------------------------------------------------------------------
|             |                              |                              |                              |        MM         |   | 
|             |                              |                              |                              |-------------------|   | 
|   refdes    |         device type          |      value & tolerance       |        package symbol        |    x    |    y    |ang|m
|------------------------------------------------------------------------------------------------------------------------------------
PC87           C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            129.032   170.815 180 N
PC88           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            121.092   160.959 270 N
PC89           C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            121.092   163.397 90  N
PC90           C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            126.238   154.051 180 N
PC91           C_C0402_0.1UF/16V              0.1UF/16V                      C0402                            127.381   167.107 0   N
PC92           C_C0402_0.1UF/16V              0.1UF/16V                      C0402                            127.381   172.212 0   N
PC93           C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            136.271   162.179 90  N
PC94           C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            137.795   152.019 270 N
PC95           C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            135.001   162.179 90  N
PC96           C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            137.541   162.179 90  N
PC97           C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            138.811   162.179 90  N
PC102          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            135.255   152.019 270 N
PC111          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            139.065   152.019 270 N
PC113          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            136.525   152.019 270 N
PC115          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            129.413   147.066 180 N
PC118          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         148.717   208.915 0   N
PC119          C_C0805_DISCRETE_10UF/16V      10UF/16V                       C0805                            119.006   143.256 90  N
PC120          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         128.016   145.161 90  N
PC121          C_C0402_DISCRETE_2200PF/50V    2200PF/50V                     C0402                            123.302   149.235 90  N
PC122          C_C0402_DISCRETE_0.22UF/6.3V   0.22UF/6.3V                    C0402                            125.476   148.082 270 N
PC123          C_C0402_DISCRETE_0.022UF/16V   0.022UF/16V                    C0402                            127.187   148.614 0   N
PC124          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            119.675   148.191 270 N
PC125          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            126.238   141.478 180 N
PC127          C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            121.793   150.597 90  N
PC128          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            139.700   137.795 270 N
PC129          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            137.160   137.795 270 N
PC131          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            134.620   137.795 270 N
PC133          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            138.430   137.795 270 N
PC134          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            135.001   148.082 90  N
PC136          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            137.541   148.082 90  N
PC140          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            135.890   137.795 270 N
PC144          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            138.811   148.082 90  N
PC145          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            136.271   148.082 90  N
PC161          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            140.081   148.082 90  N
PC163          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         142.595   188.552 0   N
PC164          C_C0805_H57_DISCRETE_10UF/16V  10UF/16V                       C0805_H57                        128.328   190.373 90  N
PC165          C_C0805_H57_DISCRETE_10UF/16V  10UF/16V                       C0805_H57                        128.216   195.829 270 N
PC166          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         138.582   189.866 90  N
PC167          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         140.843   180.467 270 N
PC168          C_C0402_4700PF/50V             4700pF/50V                     C0402                            142.613   190.345 0   N
PC169          C_C0402_0.1UF/16V              0.1UF/16V                      C0402                            138.557   206.599 0   N
PC170          C_C0603_DISCRETE_10UF/6.3V     10UF/6.3V                      C0603                            130.861   207.442 180 N
PC171          C_C0402_DISCRETE_3900PF/50V    3900PF/50V                     C0402                            135.138   212.852 90  N
PC173          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            446.044   128.015 270 N
PC174          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            447.085   128.015 270 N
PC175          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            447.929   138.811 180 N
PC176          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            450.159   139.403 90  N
PC202          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         451.045   129.795 0   N
PC203          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            437.896   136.017 90  N
PC204          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         438.912   136.017 90  N
PC207          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            444.661    98.273 90  N
PC215          C_AK_C0402_0.1UF/25V           0.1UF/25V                      AK_C0402                         453.558   183.080 270 N
PC216          C_C0402_DISCRETE_47PF/50V      47PF/50V                       C0402                            409.321   156.464 0   N
PC219          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         440.436   149.352 180 N
PC222          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         440.436   166.116 180 N
PC223          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.809   156.720 180 N
PC224          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            440.401   181.864 180 N
PC225          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.809   165.102 180 N
PC226          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            440.437   156.714 180 N
PC227          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            425.323   167.005 270 N
PC229          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            425.323   158.623 270 N
PC231          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         445.926   163.525 0   N
PC232          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            445.916   160.528 180 N
PC233          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            445.516   138.811 180 N
PC234          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.809   181.866 180 N
PC235          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            440.441   165.098 180 N
PC236          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            445.916   177.292 180 N
PC237          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            424.053   175.387 270 N
PC238          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            424.053   167.005 270 N
PC241          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         440.436   174.498 180 N
PC244          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         440.436   157.734 180 N
PC245          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         445.926   171.907 0   N
PC246          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            445.916   168.910 180 N
PC247          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.809   173.484 180 N
PC248          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            440.437   173.479 180 N
PC249          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            424.053   158.623 270 N
PC251          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         445.926   188.671 0   N
PC252          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            445.916   185.674 180 N
PC255          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         440.402   182.880 180 N
PC256          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            440.941   190.251 180 N
PC272          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         439.612   197.110 180 N
PC273          C_C0805_DISCRETE_10UF/16V      10UF/16V                       C0805                            436.499   199.898 90  N
PC274          C_C0805_DISCRETE_10UF/16V      10UF/16V                       C0805                            438.531   199.898 90  N
PC275          C_C0402_4.7UF/6.3V             4.7UF/6.3V                     C0402                            432.172   198.617 0   N
PC276          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         429.514   201.422 90  N
PC279          C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            427.736   206.781 0   N
PC280          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            432.690   206.856 0   N
PC282          C_C0805_DISCRETE_10UF/16V      10UF/16V                       C0805                            434.467   199.898 90  N
PC283          C_C0402_DISCRETE_0.022UF/16V   0.022UF/16V                    C0402                            430.403   204.724 0   N
PC284          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            434.594   205.232 90  N
PC287          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            425.323   175.387 270 N
PC306          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            328.293   112.905 270 N
PC313          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            329.563   112.905 270 N
PC341          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            425.323   180.721 90  N
PC343          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            424.053   172.339 90  N
PC355          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            422.529   199.517 270 N
PC356          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            421.259   203.708 90  N
PC357          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            422.529   203.708 90  N
PC358          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            421.259   199.517 270 N
PC366          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         437.564    94.036 180 N
PC367          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         455.597   106.989 270 N
PC368          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            455.597   109.237 90  N
PC369          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         448.973    88.263 270 N
PC370          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            445.300   119.040 90  N
PC371          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            444.909    84.834 180 N
PC373          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            447.322    84.834 180 N
PC375          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            450.370    88.263 270 N
PC376          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            451.869    90.422 270 N
PC377          C_C0402_4.7UF/6.3V             4.7UF/6.3V                     C0402                            449.862    89.787 0   N
PC378          C_AK_C0402_0.1UF/25V           0.1UF/25V                      AK_C0402                         454.914    26.035 90  N
PC379          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            441.565    95.860 90  N
PC382          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         437.261    54.737 180 N
PC385          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         437.261    37.973 180 N
PC386          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            440.549    95.860 90  N
PC387          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            442.496    84.834 0   N
PC388          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            440.150    84.834 0   N
PC389          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            438.056    84.309 270 N
PC390          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            438.052    86.719 270 N
PC391          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            438.027    89.015 270 N
PC392          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            438.345    92.398 270 N
PC393          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         437.559    90.787 180 N
PC394          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.751    60.528 0   N
PC395          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            442.741    57.531 180 N
PC396          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         439.634    62.102 180 N
PC397          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            437.286    62.091 180 N
PC398          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            422.148    30.480 270 N
PC399          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            422.148    44.196 90  N
PC400          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.794    52.159 0   N
PC401          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            442.741    49.149 180 N
PC404          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         437.261    46.355 180 N
PC407          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         437.261    29.591 180 N
PC408          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         439.634    36.959 180 N
PC409          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            437.254    53.703 180 N
PC412          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.751    43.764 0   N
PC413          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            442.741    40.767 180 N
PC414          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         439.634    45.341 180 N
PC415          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            437.259    45.339 180 N
PC416          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            422.148    35.814 90  N
PC418          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.751    35.382 0   N
PC419          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            442.741    32.385 180 N
PC420          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         439.634    53.723 180 N
PC421          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            437.258    36.955 180 N
PC422          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            420.878    44.196 90  N
PC423          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            420.878    35.814 90  N
PC426          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         437.227    21.209 180 N
PC427          C_C0402_DISCRETE_47PF/50V      47PF/50V                       C0402                            409.120    28.927 0   N
PC428          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         442.751    27.000 0   N
PC429          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            442.741    24.003 180 N
PC430          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            437.258    28.572 180 N
PC435          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         260.604    36.576 270 N
PC436          C_C0805_DISCRETE_10UF/16V      10UF/16V                       C0805                            257.810    33.655 180 N
PC437          C_C0805_DISCRETE_10UF/16V      10UF/16V                       C0805                            257.810    31.623 180 N
PC438          C_C0402_4.7UF/6.3V             4.7UF/6.3V                     C0402                            259.080    29.083 90  N
PC439          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         256.286    26.670 180 N
PC442          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            250.698    29.845 90  N
PC443          C_C0805_DISCRETE_10UF/16V      10UF/16V                       C0805                            257.810    35.687 180 N
PC445          C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            250.825    24.892 90  N
PC446          C_C0402_DISCRETE_0.022UF/16V   0.022UF/16V                    C0402                            252.984    27.559 90  N
PC447          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            252.476    31.623 180 N
PC452          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            328.297   102.999 90  N
PC463          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            329.567   102.999 90  N
PC518          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            259.207    22.225 90  N
PC519          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            260.477    22.225 90  N
PC528          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         251.587    45.085 0   N
PC529          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            242.570    48.006 90  N
PC530          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         241.554    48.006 90  N
PC531          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            249.682    40.386 270 N
PC532          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         252.004    46.863 90  N
PC533          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            247.396    37.973 270 N
PC534          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            246.507    50.292 0   N
PC536          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            240.360    45.974 90  N
PC537          C_C0402_4.7UF/6.3V             4.7UF/6.3V                     C0402                            242.062    46.482 180 N
PC540          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         238.125    68.561 90  N
PC541          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         239.268    50.051 0   N
PC542          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         254.381    66.558 90  N
PC543          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            237.582    85.174 180 N
PC544          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            238.887    46.355 0   N
PC545          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            245.863    68.978 90  N
PC547          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            240.870    64.022 90  N
PC548          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         244.695    63.990 270 N
PC552          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         246.888    68.971 90  N
PC554          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         245.999    66.558 90  N
PC555          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            254.762    82.306 90  N
PC557          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            254.381    68.580 90  N
PC560          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            249.252    64.022 90  N
PC561          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         253.085    64.015 270 N
PC562          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            324.487   102.999 90  N
PC564          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            324.483   112.905 270 N
PC565          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            325.757   102.999 90  N
PC566          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            323.213   112.905 270 N
PC568          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            237.582    83.896 180 N
PC569          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            246.237    81.870 90  N
PC571          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            323.217   102.999 90  N
PC574          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            327.023   112.905 270 N
PC575          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            325.753   112.905 270 N
PC576          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            327.027   102.999 90  N
PC586          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            424.688   189.103 90  N
PC587          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            424.688   184.023 270 N
PC589          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            423.418   189.103 90  N
PC597          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            425.958   189.103 90  N
PC598          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            423.418   184.023 270 N
PC599          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            246.237    78.583 270 N
PC603          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            425.958   184.023 270 N
PC609          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            421.513    27.432 90  N
PC641          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            254.635    78.489 270 N
PC642          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            223.520    47.879 90  N
PC643          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         233.426    44.577 0   N
PC644          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         222.504    47.879 90  N
PC645          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            230.127    39.116 270 N
PC646          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            221.234    45.847 90  N
PC647          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            227.965    36.779 270 N
PC648          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            229.870    50.038 0   N
PC650          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            225.552    50.038 0   N
PC653          C_C0402_4.7UF/6.3V             4.7UF/6.3V                     C0402                            223.012    46.379 180 N
PC654          C_AK_C0402_0.1UF/25V           0.1UF/25V                      AK_C0402                         222.877    54.847 0   N
PC655          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         218.059    48.895 180 N
PC659          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         220.726    69.098 90  N
PC660          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            218.047    47.537 180 N
PC661          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            178.181   275.209 270 N
PC662          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            221.548    85.274 180 N
PC664          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            228.061    68.984 90  N
PC666          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            223.090    64.022 90  N
PC667          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         226.949    64.015 270 N
PC670          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         229.108    68.971 90  N
PC671          C_C0603_DISCRETE_0.22UF/16V    0.22UF/16V                     C0603                            144.272   273.304 180 N
PC672          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         135.509   277.495 180 N
PC673          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            230.438    84.004 180 N
PC674          C_C0402_DISCRETE_1200PF/50V    1200PF/50V                     C0402                            135.509   273.050 90  N
PC675          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            236.617    68.611 90  N
PC677          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            231.472    64.022 90  N
PC678          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         235.305    64.065 270 N
PC679          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            319.786   104.394 0   N
PC680          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            234.631    83.312 0   N
PC682          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            321.947   102.999 90  N
PC683          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            319.913   111.379 0   N
PC684          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            321.943   112.905 270 N
PC685          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            230.438    82.734 180 N
PC687          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            319.913   112.649 0   N
PC689          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            319.786   103.124 0   N
PC691          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            226.607    84.034 0   N
PC692          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            221.548    82.734 180 N
PC693          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            226.607    82.764 0   N
PC694          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            221.548    84.004 180 N
PC696          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            318.006   106.428 270 N
PC697          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            318.010   109.222 90  N
PC699          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         450.009   107.859 270 N
PC700          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            451.152   107.859 270 N
PC701          C_C0402_4.7UF/6.3V             4.7UF/6.3V                     C0402                            450.517   109.383 0   N
PC705          C_C0402_DISCRETE_1000PF/50V    1000PF/50V                     C0402                            443.063   116.549 90  N
PC706          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         452.402    86.055 180 N
PC708          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            442.844   125.625 270 N
PC709          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            445.911   104.044 180 N
PC710          C_C0402_DISCRETE_3300PF/50V    3300PF/50V                     C0402                            450.604   103.105 270 N
PC711          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            453.037    90.396 90  N
PC712          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            441.344   104.032 0   N
PC715          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         416.941   126.746 180 N
PC716          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            439.058   104.032 0   N
PC717          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         419.951   133.852 0   N
PC718          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            399.771   125.984 90  N
PC719          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            418.080    84.328 0   N
PC720          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            436.645   104.032 0   N
PC721          C_AK_C0402_0.1UF/25V           0.1UF/25V                      AK_C0402                         431.960   133.671 90  N
PC722          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            436.850   106.629 270 N
PC723          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            436.850   109.042 270 N
PC724          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            422.656    79.882 180 N
PC725          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         422.558    83.006 0   N
PC728          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         416.941   110.236 180 N
PC730          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            436.830   111.421 270 N
PC732          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         416.941   101.981 180 N
PC733          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            436.830   113.708 270 N
PC734          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         419.951   117.342 0   N
PC735          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            404.915   125.454 0   N
PC736          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         419.951   109.087 0   N
PC737          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            404.923   109.153 0   N
PC738          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            443.757   104.032 0   N
PC739          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            418.076    92.574 0   N
PC741          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            418.085   100.834 0   N
PC742          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         436.301   115.558 180 N
PC743          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            422.656    88.137 180 N
PC744          C_C0402_DISCRETE_1UF/6.3V      1UF/6.3V                       C0402                            453.184   110.526 0   N
PC745          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            422.656    96.392 180 N
