---------------------------------------------------------------------------------------------------
                                 COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
ADM       TPS3895ADRYR_AK_DFN_6P_20_57X39/TPS3895ADRYR AK_DFN_6P_20_57X39_TI   5787.85   6848.60   147.011   173.954 180 N
C83       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18120.00   1773.94   460.248    45.058 180 N
C84       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5708.43   3340.00   144.994    84.836 270 N
C85       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   2028.94   460.375    51.535 180 N
C86       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5479.00   3340.00   139.167    84.836 270 N
C87       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   2128.94   460.375    54.075 180 N
C88       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5408.00   3340.00   137.363    84.836 270 N
C89       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   2168.94   460.375    55.091 180 N
C90       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5338.00   3340.00   135.585    84.836 270 N
C91       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   2266.60   460.350    57.572 180 N
C92       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5267.00   3340.00   133.782    84.836 270 N
C93       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   2503.81   460.350    63.597 180 N
C94       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5196.00   3340.00   131.978    84.836 270 N
C95       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   2603.81   460.350    66.137 180 N
C96       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5125.00   3340.00   130.175    84.836 270 N
C97       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18120.00   5217.25   460.248   132.518 180 N
C98       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5054.85   3340.00   128.393    84.836 270 N
C99       C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18120.00   5287.25   460.248   134.296 180 N
C100      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   5572.25   460.375   141.535 180 N
C101      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   5672.25   460.375   144.075 180 N
C102      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   5712.25   460.375   145.091 180 N
C103      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5738.43   3340.00   145.756    84.836 270 N
C104      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   5809.91   460.350   147.572 180 N
C105      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5509.00   3340.00   139.929    84.836 270 N
C106      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   6077.12   460.350   154.359 180 N
C107      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5438.00   3340.00   138.125    84.836 270 N
C108      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   6147.12   460.350   156.137 180 N
C109      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5368.00   3340.00   136.347    84.836 270 N
C110      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5297.00   3340.00   134.544    84.836 270 N
C111      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18120.00   1703.94   460.248    43.280 180 N
C112      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5226.00   3340.00   132.740    84.836 270 N
C113      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18120.00   1743.94   460.248    44.296 180 N
C114      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5155.00   3340.00   130.937    84.836 270 N
C115      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   2058.94   460.375    52.297 180 N
C116      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                5084.85   3340.00   129.155    84.836 270 N
C117      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   2098.94   460.375    53.313 180 N
C118      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   2198.94   460.375    55.853 180 N
C119      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   2236.60   460.350    56.810 180 N
C120      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   2533.81   460.350    64.359 180 N
C121      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   2573.81   460.350    65.375 180 N
C122      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18120.00   5247.25   460.248   133.280 180 N
C123      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18120.00   5317.25   460.248   135.058 180 N
C124      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   5602.25   460.375   142.297 180 N
C125      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   5642.25   460.375   143.313 180 N
C126      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18125.00   5742.25   460.375   145.853 180 N
C127      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   5779.91   460.350   146.810 180 N
C128      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   6047.12   460.350   153.597 180 N
C129      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               18124.00   6117.12   460.350   155.375 180 N
C130      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9592.62   3415.00   243.653    86.741 90  N
C131      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9722.62   3415.00   246.955    86.741 90  N
C132      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9592.62   3435.00   243.653    87.249 270 N
C133      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9852.62   3415.00   250.257    86.741 90  N
C134      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9722.62   3435.00   246.955    87.249 270 N
C135      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9982.62   3415.00   253.559    86.741 90  N
C136      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9852.62   3435.00   250.257    87.249 270 N
C137      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10057.62   3415.00   255.464    86.741 90  N
C138      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9982.62   3435.00   253.559    87.249 270 N
C139      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10187.62   3415.00   258.766    86.741 90  N
C140      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10057.62   3435.00   255.464    87.249 270 N
C141      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10372.62   3415.00   263.465    86.741 90  N
C142      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10187.62   3435.00   258.766    87.249 270 N
C143      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10447.62   3415.00   265.370    86.741 90  N
C144      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10372.62   3435.00   263.465    87.249 270 N
C145      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201               10447.62   3435.00   265.370    87.249 270 N
C146      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9537.62   3415.00   242.256    86.741 90  N
C147      C_C0201_0.22UF/6.3V/0.22UF/6.3V C0201                9667.62   3415.00   245.558    86.741 90  N
